,Weight is in kg,,,,,,,,
Length (cm),3,5,10,25,50,75,90,95,97
45,"1,613026","1,695309","1,824645","2,047708","2,305397","2,573066","2,822212","2,974944","3,07556"
"45,5","1,723754","1,805223","1,932851","2,151844","2,403257","2,662836","2,903176","3,049956","3,146436"
"46,5","1,946461","2,026496","2,151303","2,36396","2,60602","2,85389","3,081735","3,220173","3,310893"
"47,5","2,170805","2,249555","2,37216","2,580565","2,817114","3,058703","3,280281","3,414702","3,502713"
"48,5","2,396674","2,474214","2,595089","2,800986","3,035356","3,275452","3,496305","3,630585","3,718623"
"49,5","2,623846","2,700267","2,819827","3,024686","3,259693","3,502419","3,727426","3,86503","3,95557"
"50,5","2,852008","2,927479","3,046163","3,251251","3,48922","3,738025","3,971396","4,1154","4,210682"
"51,5","3,08078","3,155581","3,273901","3,480372","3,723195","3,980868","4,226124","4,379201","4,481218"
"52,5","3,309743","3,384267","3,502832","3,711802","3,961035","4,229754","4,489708","4,654076","4,764536"
"53,5","3,538486","3,613206","3,732716","3,945306","4,20227","4,483694","4,760456","4,937829","5,058091"
"54,5","3,766648","3,842082","3,963283","4,180623","4,446476","4,741844","5,036873","5,228445","5,359481"
"55,5","3,993949","4,070614","4,194251","4,417444","4,69322","5,003448","5,317644","5,524113","5,666498"
"56,5","4,220196","4,298576","4,425349","4,655423","4,942029","5,267777","5,601587","5,823224","5,977172"
"57,5","4,445271","4,525795","4,656327","4,894195","5,192403","5,534119","5,887634","6,124359","6,289779"
"58,5","4,669111","4,752144","4,886965","5,133399","5,44383","5,801773","6,174807","6,426274","6,602836"
"59,5","4,891683","4,977525","5,11707","5,372695","5,695813","6,070071","6,462217","6,727879","6,915076"
"60,5","5,112971","5,201863","5,346478","5,611774","5,94789","6,338391","6,749065","7,028227","7,225424"
"61,5","5,332968","5,425097","5,575047","5,85036","6,19964","6,606172","7,034645","7,326504","7,532981"
"62,5","5,551666","5,647175","5,802652","6,088213","6,450696","6,872915","7,318342","7,62202","7,836998"
"63,5","5,769061","5,868052","6,029191","6,325127","6,700737","7,138193","7,599636","7,914203","8,136875"
"64,5","5,985144","6,08769","6,254575","6,560927","6,949494","7,401643","7,878098","8,202596","8,432145"
"65,5","6,199913","6,306059","6,478732","6,795472","7,196745","7,662975","8,153389","8,486851","8,722464"
"66,5","6,413362","6,523134","6,701606","7,028648","7,442314","7,921956","8,425257","8,766723","9,007608"
"67,5","6,625492","6,738899","6,923153","7,260367","7,686067","8,178421","8,69353","9,042068","9,287465"
"68,5","6,836308","6,953346","7,143346","7,490568","7,927909","8,432257","8,958117","9,312833","9,56203"
"69,5","7,045821","7,166475","7,362171","7,719212","8,167784","8,683408","9,219002","9,579059","9,831396"
"70,5","7,254048","7,378297","7,579625","7,946282","8,405667","8,931871","9,476239","9,840866","10,09575"
"71,5","7,461016","7,588833","7,795721","8,171783","8,641566","9,177686","9,729947","10,09846","10,35537"
"72,5","7,66676","7,798112","8,010485","8,395736","8,87552","9,42094","9,98031","10,35211","10,61061"
"73,5","7,871329","8,006179","8,223954","8,61818","9,10759","9,66176","10,22757","10,60217","10,86191"
"74,5","8,074782","8,213088","8,436179","8,839171","9,337865","9,900312","10,47201","10,84905","11,10976"
"75,5","8,277191","8,418904","8,64722","9,058777","9,566453","10,13679","10,71399","11,09321","11,35475"
"76,5","8,478641","8,623706","8,857151","9,277079","9,793482","10,37143","10,95388","11,33518","11,5975"
"77,5","8,679234","8,827587","9,066055","9,494173","10,0191","10,60449","11,19212","11,57552","11,83868"
"78,5","8,879084","9,03065","9,274029","9,710161","10,24346","10,83625","11,42918","11,81486","12,07903"
"79,5","9,078323","9,233013","9,481178","9,925158","10,46675","11,06702","11,66555","12,05383","12,31932"
"80,5","9,277093","9,434804","9,687617","10,13929","10,68916","11,29712","11,90175","12,29314","12,56035"
"81,5","9,475554","9,636167","9,893474","10,35269","10,91087","11,5269","12,13833","12,53347","12,80295"
"82,5","9,673875","9,837254","10,09889","10,5655","11,13211","11,7567","12,37586","12,77557","13,04798"
"83,5","9,872237","10,03823","10,30401","10,77788","11,35309","11,98689","12,6149","13,02018","13,29632"
"84,5","10,07083","10,23927","10,509","10,99001","11,57406","12,21785","12,85604","13,26804","13,54884"
"85,5","10,26985","10,44056","10,71403","11,20206","11,79525","12,44994","13,09985","13,51992","13,80645"
"86,5","10,46949","10,6423","10,9193","11,41424","12,01692","12,68355","13,34691","13,77656","14,07003"
"87,5","10,66996","10,84467","11,12501","11,62678","12,23935","12,91906","13,59779","14,0387","14,34047"
"88,5","10,87145","11,0479","11,33138","11,83991","12,46282","13,15685","13,85303","14,30705","14,61861"
"89,5","11,07415","11,25218","11,53864","12,0539","12,68764","13,3973","14,11317","14,5823","14,90532"
"90,5","11,27826","11,45773","11,74703","12,26903","12,91413","13,64079","14,37871","14,86511","15,20138"
"91,5","11,48393","11,66476","11,95681","12,48563","13,14264","13,88771","14,65014","15,1561","15,50755"
"92,5","11,69135","11,87348","12,16825","12,70401","13,37354","14,13845","14,92791","15,45584","15,82453"
"93,5","11,90066","12,0841","12,38161","12,92454","13,60723","14,39342","15,21246","15,76484","16,15296"
"94,5","12,11201","12,2968","12,59718","13,14758","13,84412","14,65302","15,50421","16,08357","16,49337"
"95,5","12,32555","12,5118","12,81522","13,3735","14,08465","14,91769","15,80353","16,41242","16,84623"
"96,5","12,54142","12,72929","13,03602","13,60268","14,32925","15,18785","16,11078","16,75173","17,2119"
"97,5","12,75976","12,94946","13,25983","13,83551","14,57837","15,46392","16,42632","17,10178","17,59064"
"98,5","12,98073","13,17252","13,48694","14,07234","14,83246","15,74635","16,75044","17,46277","17,98258"
"99,5","13,20451","13,39868","13,71761","14,31354","15,09192","16,03553","17,08343","17,83483","18,38778"
"100,5","13,43129","13,62816","13,9521","14,55946","15,35716","16,33184","17,42553","18,21805","18,80615"
"101,5","13,66128","13,8612","14,1907","14,8104","15,62855","16,63564","17,77692","18,61241","19,23752"
"102,5","13,89473","14,09807","14,43368","15,06669","15,90641","16,94721","18,13775","19,01784","19,68159"
"103,5","14,13193","14,33903","14,68133","15,32861","16,19104","17,2668","18,50808","19,43416","20,13796"
